Feature,Importance
admission_type_id,13.548471082847806
discharge_disposition_id,10.983643674076362
total_visits,8.1975297268286
discharge_high_risk,7.115991209097889
number_inpatient,6.3638689126898855
number_diagnoses,6.25643307574392
total_procedures,4.443009109941627
previous_admission_intensity,4.384689051279386
num_lab_procedures,4.158276584366828
age_numeric,3.692181620042574
medical_specialty,3.2209375213539655
num_medications,3.08585188037639
diag_1,2.00553203372258
high_utilizer,1.8838585016845208
max_glu_serum,1.8723078562268154
number_outpatient,1.8248665244343292
race,1.7247537351841389
age_group,1.5642971116558941
time_in_hospital,1.3206927081007211
glu_measured,1.055474656262488
diag_2,1.0204359610068023
admission_source_id,0.9964439457241501
insulin,0.7364925593429947
medication_complexity,0.7117328092171462
diabetes_med_count,0.6942794275284148
gender,0.6887920980554596
metformin,0.6632645200152274
diag_3,0.5932391036328518
age,0.5492900055826672
pioglitazone,0.5339697451468588
acarbose,0.5098775852999604
number_emergency,0.45980924827470626
diabetesMed,0.4463984578393169
glipizide,0.44313871990372955
num_procedures,0.38345582718921106
repaglinide,0.33618219510024433
glyburide-metformin,0.29646064243516335
glyburide,0.2620180742496026
A1Cresult,0.2069050621445839
chlorpropamide,0.20093425578911667
glimepiride,0.13564201276766016
rosiglitazone,0.11710172835473433
nateglinide,0.10733050263049045
miglitol,0.07297903300049152
metformin-pioglitazone,0.04697576092070884
tolbutamide,0.02992994484574216
total_changes,0.02735609566273385
troglitazone,0.014168681379487933
glipizide-metformin,0.012585042311171045
acetohexamide,0.00014437873179241951
tolazamide,0.0
glimepiride-pioglitazone,0.0
change,0.0
metformin-rosiglitazone,0.0
a1c_measured,0.0
